"PyLabel"	"X"	"Y"	"Length"	"Area"	"Mean"	"StdDev"	"Min"	"Max"	"ID"	"Source_File"	"CV"	"Pigmentation"	"log.Length"	"Link"
"27"	27	5937	876	7.69	14.14	118.58	25.77	47	217	"ID27"	"Sample_001b_ID27.jpg"	0.217321639399561	0.534980392156863	0.885926339801431	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID27.jpg"
"28"	28	5894	863	7.98	14.68	123.74	28.25	46	221	"ID28"	"Sample_001b_ID28.jpg"	0.228301276870858	0.514745098039216	0.902002891350729	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID28.jpg"
"29"	29	5866	805	6.65	10.37	111.15	33.65	31	220	"ID29"	"Sample_001b_ID29.jpg"	0.302744039586145	0.564117647058824	0.822821645303105	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID29.jpg"
"30"	30	5795	843	7.46	13.09	98.04	31.75	26	218	"ID30"	"Sample_001b_ID30.jpg"	0.323847409220726	0.615529411764706	0.872738827472669	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID30.jpg"
"31"	31	5827	867	7.67	14.66	119.8	24	48	211	"ID31"	"Sample_001b_ID31.jpg"	0.200333889816361	0.530196078431373	0.884795363948981	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID31.jpg"
"32"	32	5877	832	8.01	15.65	131.11	29.69	43	229	"ID32"	"Sample_001b_ID32.jpg"	0.226451071619251	0.485843137254902	0.903632516084238	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID32.jpg"
"33"	33	5765	817	7.05	12.07	110.51	28.13	42	233	"ID33"	"Sample_001b_ID33.jpg"	0.254547099809972	0.566627450980392	0.848189116991399	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID33.jpg"
"34"	34	5889	825	6.29	10.1	109.94	25.25	38	208	"ID34"	"Sample_001b_ID34.jpg"	0.229670729488812	0.568862745098039	0.798650645445269	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID34.jpg"
"35"	35	5852	817	7.82	14.58	98.5	30.36	24	230	"ID35"	"Sample_001b_ID35.jpg"	0.308223350253807	0.613725490196078	0.893206753059848	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID35.jpg"
"36"	36	5906	789	8.15	13.79	96.75	26.28	30	207	"ID36"	"Sample_001b_ID36.jpg"	0.271627906976744	0.620588235294118	0.911157608739977	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID36.jpg"
"37"	37	5910	891	8.07	15.93	97.86	25.3	26	225	"ID37"	"Sample_001b_ID37.jpg"	0.258532597588392	0.616235294117647	0.90687353472207	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID37.jpg"
"38"	38	5866	919	6.55	12.84	92.8	28.17	26	218	"ID38"	"Sample_001b_ID38.jpg"	0.303556034482759	0.636078431372549	0.816241299991783	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID38.jpg"
"39"	39	5779	871	7.92	14.97	96.7	25.51	31	210	"ID39"	"Sample_001b_ID39.jpg"	0.263805584281282	0.62078431372549	0.898725181589494	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID39.jpg"
"40"	40	5850	945	8.77	19.18	69.37	24.22	19	208	"ID40"	"Sample_001b_ID40.jpg"	0.349142280524722	0.727960784313725	0.94299959336604	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID40.jpg"
"41"	41	5796	890	10.16	25.47	137.05	20.98	58	224	"ID41"	"Sample_001b_ID41.jpg"	0.153082816490332	0.462549019607843	1.0068937079479	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID41.jpg"
"42"	42	5920	849	7.58	13.82	103.56	26.36	30	224	"ID42"	"Sample_001b_ID42.jpg"	0.25453843182696	0.593882352941176	0.879669205632054	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID42.jpg"
"43"	43	5618	842	12.82	28.83	201.34	13.12	91	237	"ID43"	"Sample_001b_ID43.jpg"	0.0651634051852588	0.21043137254902	1.1078880251828	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID43.jpg"
"44"	44	5620	836	12.84	29.48	203.26	12.33	82	255	"ID44"	"Sample_001b_ID44.jpg"	0.0606612220800945	0.202901960784314	1.10856502373283	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID44.jpg"
"45"	45	5849	830	3.53	2.77	131.3	25.17	73	215	"ID45"	"Sample_001b_ID45.jpg"	0.191698400609292	0.485098039215686	0.547774705387823	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID45.jpg"
"46"	46	5854	826	4.1	3.42	157.65	26.48	69	232	"ID46"	"Sample_001b_ID46.jpg"	0.167967015540755	0.381764705882353	0.612783856719735	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID46.jpg"
"47"	47	5846	835	4.44	3.7	129.97	27.87	69	234	"ID47"	"Sample_001b_ID47.jpg"	0.214434100176964	0.490313725490196	0.64738297011462	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID47.jpg"
"48"	48	5853	840	4.46	4.79	130.32	27.2	61	231	"ID48"	"Sample_001b_ID48.jpg"	0.208717004297115	0.488941176470588	0.649334858712142	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID48.jpg"
"49"	49	5849	850	5.24	6.44	122.7	30.45	44	237	"ID49"	"Sample_001b_ID49.jpg"	0.248166259168704	0.518823529411765	0.719331286983727	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID49.jpg"
"50"	50	5852	834	4.46	4.11	152.51	28.31	77	230	"ID50"	"Sample_001b_ID50.jpg"	0.185627171988722	0.401921568627451	0.649334858712142	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID50.jpg"
"51"	51	5860	820	4.18	3.94	137.99	25.48	74	233	"ID51"	"Sample_001b_ID51.jpg"	0.184651061671136	0.458862745098039	0.621176281775035	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID51.jpg"
"52"	52	5831	813	5.3	6.39	146.08	32.35	54	228	"ID52"	"Sample_001b_ID52.jpg"	0.221453997809419	0.427137254901961	0.724275869600789	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID52.jpg"
"53"	53	5916	822	5.56	7.02	128.43	27.44	54	215	"ID53"	"Sample_001b_ID53.jpg"	0.213657245191933	0.496352941176471	0.745074791582057	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID53.jpg"
"54"	54	5801	815	5.85	8.23	118.71	31.23	38	233	"ID54"	"Sample_001b_ID54.jpg"	0.263078089461713	0.534470588235294	0.76715586608218	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID54.jpg"
"55"	55	5861	816	5.51	6.86	131.84	33.29	48	235	"ID55"	"Sample_001b_ID55.jpg"	0.252503033980582	0.482980392156863	0.741151598851785	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID55.jpg"
"56"	56	5825	846	5.41	6.58	98.78	25.63	44	218	"ID56"	"Sample_001b_ID56.jpg"	0.259465478841871	0.612627450980392	0.733197265106569	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID56.jpg"
"57"	57	5869	838	5.41	6.9	109.05	30.17	41	230	"ID57"	"Sample_001b_ID57.jpg"	0.276662081613939	0.572352941176471	0.733197265106569	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID57.jpg"
"58"	58	5879	825	5.77	7.09	132.41	30.92	52	224	"ID58"	"Sample_001b_ID58.jpg"	0.233517105958764	0.480745098039216	0.761175813155731	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID58.jpg"
"59"	59	5871	802	6.36	9.33	126.51	29.58	45	251	"ID59"	"Sample_001b_ID59.jpg"	0.233815508655442	0.503882352941177	0.803457115648414	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID59.jpg"
"60"	60	5945	860	7.01	12.73	127.93	23.06	58	230	"ID60"	"Sample_001b_ID60.jpg"	0.180254826858438	0.498313725490196	0.845718017966659	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID60.jpg"
"61"	61	5846	822	6.51	10.01	113.15	28.91	44	208	"ID61"	"Sample_001b_ID61.jpg"	0.255501546619532	0.556274509803922	0.813580988568192	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID61.jpg"
"62"	62	5850	858	6.76	10.83	108.06	29.92	39	228	"ID62"	"Sample_001b_ID62.jpg"	0.276883213029798	0.576235294117647	0.829946695941636	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID62.jpg"
"63"	63	5836	747	12.65	5.44	178.58	15.13	113	204	"ID63"	"Sample_001b_ID63.jpg"	0.0847239332512039	0.299686274509804	1.10209052551184	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID63.jpg"
"64"	64	5866	793	6.51	9.99	118.82	24.17	50	217	"ID64"	"Sample_001b_ID64.jpg"	0.203416933176233	0.534039215686275	0.813580988568192	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID64.jpg"
"65"	65	5906	840	7.05	10.91	109.98	32.38	31	229	"ID65"	"Sample_001b_ID65.jpg"	0.294417166757592	0.568705882352941	0.848189116991399	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID65.jpg"
"66"	66	5845	833	6.4	9.39	118.17	26.59	48	228	"ID66"	"Sample_001b_ID66.jpg"	0.225014809173225	0.536588235294118	0.806179973983887	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID66.jpg"
"67"	67	5843	886	6.25	11.6	118.02	26.88	45	209	"ID67"	"Sample_001b_ID67.jpg"	0.227758007117438	0.537176470588235	0.795880017344075	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID67.jpg"
"68"	68	5897	808	6.67	9.79	138.25	21.82	64	214	"ID68"	"Sample_001b_ID68.jpg"	0.157830018083183	0.457843137254902	0.824125833916549	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID68.jpg"
"69"	69	5851	916	0.59	0.16	96.79	30.53	62	223	"ID69"	"Sample_001b_ID69.jpg"	0.315425147225953	0.620431372549019	-0.229147988357856	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID69.jpg"
"70"	70	5849	843	4.5	4.72	143.47	23.61	86	225	"ID70"	"Sample_001b_ID70.jpg"	0.164564020352687	0.437372549019608	0.653212513775344	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID70.jpg"
"71"	71	5866	829	3.06	2.2	164.82	24.69	89	227	"ID71"	"Sample_001b_ID71.jpg"	0.149799781579905	0.353647058823529	0.48572142648158	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID71.jpg"
"72"	72	5812	842	3.34	2.49	154.64	24.13	88	239	"ID72"	"Sample_001b_ID72.jpg"	0.156039834454216	0.39356862745098	0.523746466811564	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID72.jpg"
"73"	73	5846	841	4.37	4.46	132.05	29.97	62	227	"ID73"	"Sample_001b_ID73.jpg"	0.226959485043544	0.482156862745098	0.640481436970422	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID73.jpg"
"74"	74	5839	826	3.76	2.94	158.09	23.94	90	230	"ID74"	"Sample_001b_ID74.jpg"	0.151432728192802	0.380039215686275	0.575187844927661	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID74.jpg"
"75"	75	5848	836	4.18	4.21	145.64	24.55	74	235	"ID75"	"Sample_001b_ID75.jpg"	0.168566327931887	0.428862745098039	0.621176281775035	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID75.jpg"
"76"	76	5855	827	3.25	2.29	178.56	17.77	111	228	"ID76"	"Sample_001b_ID76.jpg"	0.0995183691756272	0.299764705882353	0.511883360978874	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID76.jpg"
"77"	77	5857	839	4.31	3.82	167.62	28.99	91	242	"ID77"	"Sample_001b_ID77.jpg"	0.172950721870898	0.342666666666667	0.634477270160732	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID77.jpg"
"78"	78	5851	834	4.08	3.55	161.08	25.51	82	238	"ID78"	"Sample_001b_ID78.jpg"	0.158368512540353	0.368313725490196	0.61066016308988	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID78.jpg"
"79"	79	5843	833	5.2	6.09	146.24	23.51	79	236	"ID79"	"Sample_001b_ID79.jpg"	0.160763129102845	0.426509803921569	0.716003343634799	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID79.jpg"
"80"	80	5867	826	3.78	3.03	134.24	28.78	66	240	"ID80"	"Sample_001b_ID80.jpg"	0.214392133492253	0.47356862745098	0.577491799837225	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID80.jpg"
"81"	81	5857	809	3.34	2.33	175.81	18.66	97	242	"ID81"	"Sample_001b_ID81.jpg"	0.106137307320403	0.310549019607843	0.523746466811564	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID81.jpg"
"82"	82	5843	823	3.72	3.24	145.5	31.79	71	232	"ID82"	"Sample_001b_ID82.jpg"	0.218487972508591	0.429411764705882	0.570542939881898	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID82.jpg"
"83"	83	5864	845	4.03	3.33	136.84	28.53	73	238	"ID83"	"Sample_001b_ID83.jpg"	0.208491669102602	0.463372549019608	0.605305046141109	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID83.jpg"
"84"	84	5840	855	12.67	10.87	173.84	14.35	122	215	"ID84"	"Sample_001b_ID84.jpg"	0.0825471698113208	0.318274509803922	1.10277661488344	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID84.jpg"
"85"	85	5613	847	12.8	27.39	200.98	18.1	85	250	"ID85"	"Sample_001b_ID85.jpg"	0.0900587123096826	0.211843137254902	1.10720996964787	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID85.jpg"
