PyLabel	X	Y	Length	Area	Mean	StdDev	Min	Max	ID	Source_File	CV	Pigmentation	log.Length	Link
22	5788	783	6.4	9.18	133.66	24.31	55	215	ID22	Sample_001a_ID22.jpg	0.181879395	0.475843137	0.806179974	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID22.jpg
23	5937	875	7.69	14.14	118.58	25.76	47	222	ID23	Sample_001a_ID23.jpg	0.217237308	0.534980392	0.88592634	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID23.jpg
24	5894	858	8.28	14.85	124.29	28.68	45	229	ID24	Sample_001a_ID24.jpg	0.230750664	0.512588235	0.918030337	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID24.jpg
25	5866	806	6.7	10.43	111.43	33.79	30	220	ID25	Sample_001a_ID25.jpg	0.303239702	0.563019608	0.826074803	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID25.jpg
26	5795	843	7.48	13.09	98.03	31.74	26	221	ID26	Sample_001a_ID26.jpg	0.323778435	0.615568627	0.873901598	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID26.jpg
27	5827	866	7.67	14.65	119.79	23.98	49	212	ID27	Sample_001a_ID27.jpg	0.200183655	0.530235294	0.884795364	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID27.jpg
28	5877	832	8.05	15.68	131.19	29.72	43	230	ID28	Sample_001a_ID28.jpg	0.226541657	0.485529412	0.90579588	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID28.jpg
29	5765	817	7.05	12.07	110.53	28.16	43	233	ID29	Sample_001a_ID29.jpg	0.25477246	0.56654902	0.848189117	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID29.jpg
30	5889	826	6.29	10.09	109.93	25.24	38	210	ID30	Sample_001a_ID30.jpg	0.229600655	0.568901961	0.798650645	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID30.jpg
31	5851	817	7.82	14.58	98.5	30.35	23	229	ID31	Sample_001a_ID31.jpg	0.308121827	0.61372549	0.893206753	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID31.jpg
32	5912	789	8.15	13.82	96.81	26.31	29	206	ID32	Sample_001a_ID32.jpg	0.271769445	0.620352941	0.911157609	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID32.jpg
33	5910	891	8.07	15.93	97.87	25.31	28	225	ID33	Sample_001a_ID33.jpg	0.258608358	0.616196078	0.906873535	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID33.jpg
34	5905	759	9.25	17.52	89.83	29.22	24	219	ID34	Sample_001a_ID34.jpg	0.325281086	0.64772549	0.966141733	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID34.jpg
35	5780	873	7.94	15	96.79	25.57	31	210	ID35	Sample_001a_ID35.jpg	0.264180184	0.620431373	0.899820502	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID35.jpg
36	5854	944	8.77	19.18	69.37	24.23	19	207	ID36	Sample_001a_ID36.jpg	0.349286435	0.727960784	0.942999593	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID36.jpg
37	5797	891	10.16	25.5	137.1	20.99	58	226	ID37	Sample_001a_ID37.jpg	0.153099927	0.462352941	1.006893708	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID37.jpg
38	5919	850	7.56	13.81	103.53	26.33	29	223	ID38	Sample_001a_ID38.jpg	0.254322419	0.594	0.878521796	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID38.jpg
39	5849	830	3.53	2.77	131.23	25.13	73	217	ID39	Sample_001a_ID39.jpg	0.191495847	0.485372549	0.547774705	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID39.jpg
40	5856	826	4.1	3.42	157.73	26.53	69	232	ID40	Sample_001a_ID40.jpg	0.168198821	0.38145098	0.612783857	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID40.jpg
41	5859	834	4.46	4.79	130.33	27.22	59	231	ID41	Sample_001a_ID41.jpg	0.208854446	0.488901961	0.649334859	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID41.jpg
42	5845	835	4.44	3.71	130.22	28.06	68	234	ID42	Sample_001a_ID42.jpg	0.215481493	0.489333333	0.64738297	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID42.jpg
43	5848	850	5.24	6.44	122.74	30.49	43	238	ID43	Sample_001a_ID43.jpg	0.248411276	0.518666667	0.719331287	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID43.jpg
44	5854	835	4.46	4.1	152.41	28.26	77	230	ID44	Sample_001a_ID44.jpg	0.185420904	0.402313725	0.649334859	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID44.jpg
45	5858	819	4.18	3.94	137.97	25.48	72	234	ID45	Sample_001a_ID45.jpg	0.184677829	0.458941176	0.621176282	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID45.jpg
46	5829	812	5.28	6.39	146.09	32.36	52	227	ID46	Sample_001a_ID46.jpg	0.22150729	0.427098039	0.722633923	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID46.jpg
47	5915	822	5.56	7.03	128.51	27.5	54	215	ID47	Sample_001a_ID47.jpg	0.213991129	0.496039216	0.745074792	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID47.jpg
48	5800	816	5.85	8.21	118.57	31.14	39	232	ID48	Sample_001a_ID48.jpg	0.26262967	0.535019608	0.767155866	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID48.jpg
49	5861	817	5.51	6.86	131.86	33.31	48	237	ID49	Sample_001a_ID49.jpg	0.252616411	0.482901961	0.741151599	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID49.jpg
50	5822	845	5.41	6.58	98.83	25.66	45	218	ID50	Sample_001a_ID50.jpg	0.259637762	0.612431373	0.733197265	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID50.jpg
51	5867	837	5.41	6.89	108.97	30.08	41	231	ID51	Sample_001a_ID51.jpg	0.276039277	0.572666667	0.733197265	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID51.jpg
52	5877	825	5.79	7.1	132.51	30.97	52	227	ID52	Sample_001a_ID52.jpg	0.23371821	0.480352941	0.762678564	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID52.jpg
53	5868	803	6.36	9.31	126.45	29.55	46	251	ID53	Sample_001a_ID53.jpg	0.233689205	0.504117647	0.803457116	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID53.jpg
54	5936	856	7.01	12.75	128.03	23.16	56	230	ID54	Sample_001a_ID54.jpg	0.180895103	0.497921569	0.845718018	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID54.jpg
55	5846	822	6.51	10	113.15	28.93	44	210	ID55	Sample_001a_ID55.jpg	0.255678303	0.55627451	0.813580989	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID55.jpg
56	5850	857	6.76	10.83	108.05	29.91	37	230	ID56	Sample_001a_ID56.jpg	0.276816289	0.57627451	0.829946696	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID56.jpg
57	5867	789	6.48	10.03	119.05	24.45	51	219	ID57	Sample_001a_ID57.jpg	0.205375892	0.533137255	0.811575006	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID57.jpg
58	5892	847	7.05	10.94	110.11	32.46	31	229	ID58	Sample_001a_ID58.jpg	0.294796113	0.568196078	0.848189117	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID58.jpg
59	5846	834	6.38	9.39	118.15	26.54	47	227	ID59	Sample_001a_ID59.jpg	0.224629708	0.536666667	0.804820679	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID59.jpg
60	5843	886	6.25	11.61	118.07	26.91	45	239	ID60	Sample_001a_ID60.jpg	0.227915643	0.536980392	0.795880017	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID60.jpg
61	5896	808	6.67	9.8	138.31	21.84	63	215	ID61	Sample_001a_ID61.jpg	0.157906153	0.457607843	0.824125834	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID61.jpg
62	5849	844	4.5	4.74	143.58	23.65	86	225	ID62	Sample_001a_ID62.jpg	0.164716534	0.436941176	0.653212514	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID62.jpg
63	5813	842	3.34	2.48	154.62	24.14	88	238	ID63	Sample_001a_ID63.jpg	0.156124693	0.393647059	0.523746467	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID63.jpg
64	5846	841	4.37	4.47	132.22	30.08	63	228	ID64	Sample_001a_ID64.jpg	0.227499622	0.481490196	0.640481437	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID64.jpg
65	5841	826	3.76	2.95	158.13	23.95	90	227	ID65	Sample_001a_ID65.jpg	0.151457661	0.379882353	0.575187845	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID65.jpg
66	5848	836	4.16	4.17	145.31	24.34	73	235	ID66	Sample_001a_ID66.jpg	0.167503957	0.430156863	0.619093331	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID66.jpg
67	5856	826	3.25	2.28	178.57	17.71	110	225	ID67	Sample_001a_ID67.jpg	0.099176793	0.29972549	0.511883361	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID67.jpg
68	5859	839	4.31	3.81	167.59	29.03	91	242	ID68	Sample_001a_ID68.jpg	0.173220359	0.342784314	0.63447727	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID68.jpg
69	5864	835	4.08	3.58	161.36	25.61	82	238	ID69	Sample_001a_ID69.jpg	0.158713436	0.367215686	0.610660163	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID69.jpg
70	5843	833	5.2	6.09	146.26	23.53	77	237	ID70	Sample_001a_ID70.jpg	0.160877889	0.426431373	0.716003344	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID70.jpg
71	5866	826	3.78	3.03	134.25	28.8	66	241	ID71	Sample_001a_ID71.jpg	0.21452514	0.473529412	0.5774918	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID71.jpg
72	5857	779	3.34	2.33	175.88	18.72	98	242	ID72	Sample_001a_ID72.jpg	0.106436207	0.31027451	0.523746467	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID72.jpg
73	5843	809	3.7	3.22	145.27	31.72	71	231	ID73	Sample_001a_ID73.jpg	0.218352034	0.430313725	0.568201724	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID73.jpg
74	5864	791	4.03	3.32	136.54	28.34	74	238	ID74	Sample_001a_ID74.jpg	0.207558225	0.46454902	0.605305046	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID74.jpg
