"PyLabel"	"X"	"Y"	"Length"	"Area"	"Mean"	"StdDev"	"Min"	"Max"	"ID"	"Source_File"	"CV"	"Pigmentation"	"log.Length"	"Family"	"Link"
"45"	45	5858	819	4.18	3.94	137.97	25.48	72	234	"ID45"	"Sample_001a_ID45.jpg"	0.184677828513445	0.458941176470588	0.621176281775035	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID45.jpg"
"46"	46	5829	812	5.28	6.39	146.09	32.36	52	227	"ID46"	"Sample_001a_ID46.jpg"	0.221507290026696	0.427098039215686	0.722633922533812	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID46.jpg"
"47"	47	5915	822	5.56	7.03	128.51	27.5	54	215	"ID47"	"Sample_001a_ID47.jpg"	0.213991129095012	0.496039215686275	0.745074791582057	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID47.jpg"
"48"	48	5800	816	5.85	8.21	118.57	31.14	39	232	"ID48"	"Sample_001a_ID48.jpg"	0.262629670236991	0.535019607843137	0.76715586608218	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID48.jpg"
"49"	49	5861	817	5.51	6.86	131.86	33.31	48	237	"ID49"	"Sample_001a_ID49.jpg"	0.252616411345366	0.482901960784314	0.741151598851785	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID49.jpg"
"50"	50	5822	845	5.41	6.58	98.83	25.66	45	218	"ID50"	"Sample_001a_ID50.jpg"	0.259637761813215	0.61243137254902	0.733197265106569	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID50.jpg"
"51"	51	5867	837	5.41	6.89	108.97	30.08	41	231	"ID51"	"Sample_001a_ID51.jpg"	0.276039276865192	0.572666666666667	0.733197265106569	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID51.jpg"
"52"	52	5877	825	5.79	7.1	132.51	30.97	52	227	"ID52"	"Sample_001a_ID52.jpg"	0.233718209946419	0.480352941176471	0.762678563727436	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID52.jpg"
"53"	53	5868	803	6.36	9.31	126.45	29.55	46	251	"ID53"	"Sample_001a_ID53.jpg"	0.233689205219454	0.504117647058824	0.803457115648414	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID53.jpg"
"54"	54	5936	856	7.01	12.75	128.03	23.16	56	230	"ID54"	"Sample_001a_ID54.jpg"	0.180895102710302	0.497921568627451	0.845718017966659	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID54.jpg"
"55"	55	5846	822	6.51	10	113.15	28.93	44	210	"ID55"	"Sample_001a_ID55.jpg"	0.255678303137428	0.556274509803922	0.813580988568192	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID55.jpg"
"56"	56	5850	857	6.76	10.83	108.05	29.91	37	230	"ID56"	"Sample_001a_ID56.jpg"	0.276816288755206	0.576274509803921	0.829946695941636	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID56.jpg"
"57"	57	5867	789	6.48	10.03	119.05	24.45	51	219	"ID57"	"Sample_001a_ID57.jpg"	0.20537589248215	0.533137254901961	0.811575005870593	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID57.jpg"
"58"	58	5892	847	7.05	10.94	110.11	32.46	31	229	"ID58"	"Sample_001a_ID58.jpg"	0.294796112977931	0.568196078431373	0.848189116991399	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID58.jpg"
"59"	59	5846	834	6.38	9.39	118.15	26.54	47	227	"ID59"	"Sample_001a_ID59.jpg"	0.224629707998307	0.536666666666667	0.804820678721162	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID59.jpg"
"60"	60	5843	886	6.25	11.61	118.07	26.91	45	239	"ID60"	"Sample_001a_ID60.jpg"	0.227915643262471	0.536980392156863	0.795880017344075	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID60.jpg"
"61"	61	5896	808	6.67	9.8	138.31	21.84	63	215	"ID61"	"Sample_001a_ID61.jpg"	0.157906152845058	0.457607843137255	0.824125833916549	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID61.jpg"
"62"	62	5849	844	4.5	4.74	143.58	23.65	86	225	"ID62"	"Sample_001a_ID62.jpg"	0.164716534336259	0.436941176470588	0.653212513775344	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID62.jpg"
"63"	63	5813	842	3.34	2.48	154.62	24.14	88	238	"ID63"	"Sample_001a_ID63.jpg"	0.15612469279524	0.393647058823529	0.523746466811564	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID63.jpg"
"64"	64	5846	841	4.37	4.47	132.22	30.08	63	228	"ID64"	"Sample_001a_ID64.jpg"	0.227499621842384	0.481490196078431	0.640481436970422	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID64.jpg"
"65"	65	5841	826	3.76	2.95	158.13	23.95	90	227	"ID65"	"Sample_001a_ID65.jpg"	0.151457661417821	0.379882352941177	0.575187844927661	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID65.jpg"
"66"	66	5848	836	4.16	4.17	145.31	24.34	73	235	"ID66"	"Sample_001a_ID66.jpg"	0.167503957057326	0.430156862745098	0.619093330626743	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID66.jpg"
"67"	67	5856	826	3.25	2.28	178.57	17.71	110	225	"ID67"	"Sample_001a_ID67.jpg"	0.0991767934143473	0.299725490196078	0.511883360978874	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID67.jpg"
"68"	68	5859	839	4.31	3.81	167.59	29.03	91	242	"ID68"	"Sample_001a_ID68.jpg"	0.173220359209977	0.34278431372549	0.634477270160732	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID68.jpg"
"69"	69	5864	835	4.08	3.58	161.36	25.61	82	238	"ID69"	"Sample_001a_ID69.jpg"	0.158713435795736	0.36721568627451	0.61066016308988	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID69.jpg"
"70"	70	5843	833	5.2	6.09	146.26	23.53	77	237	"ID70"	"Sample_001a_ID70.jpg"	0.160877888691372	0.42643137254902	0.716003343634799	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID70.jpg"
"71"	71	5866	826	3.78	3.03	134.25	28.8	66	241	"ID71"	"Sample_001a_ID71.jpg"	0.214525139664804	0.473529411764706	0.577491799837225	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID71.jpg"
"72"	72	5857	779	3.34	2.33	175.88	18.72	98	242	"ID72"	"Sample_001a_ID72.jpg"	0.106436206504435	0.310274509803922	0.523746466811564	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID72.jpg"
"73"	73	5843	809	3.7	3.22	145.27	31.72	71	231	"ID73"	"Sample_001a_ID73.jpg"	0.218352034143319	0.430313725490196	0.568201724066995	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID73.jpg"
"74"	74	5864	791	4.03	3.32	136.54	28.34	74	238	"ID74"	"Sample_001a_ID74.jpg"	0.20755822469606	0.464549019607843	0.605305046141109	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID74.jpg"
